179.100.2.0/24,BR,BR-SP,Ribeirão Preto, 
179.110.105.0/24,BR,BR-SP,São Sebastião, 
187.89.101.0/24,BR,BR-SP,Carapicuíba, 
179.110.180.0/24,BR,BR-SP,Jaú, 
187.57.148.0/24,BR,BR-SP,São Paulo, 
179.167.210.0/24,BR,BR-SP,Jandira, 
187.101.237.0/24,BR,BR-SP,Mauá, 
187.90.114.0/24,BR,BR-SP,São Vicente, 
191.249.44.0/24,BR,BR-SP,Piracicaba, 
179.94.95.0/24,BR,BR-SP,Ribeirão Preto, 
179.160.76.0/24,BR,BR-SP,São Paulo, 
200.158.3.0/24,BR,BR-SP,Catanduva, 
179.146.24.0/24,BR,BR-SP,São Paulo, 
179.193.110.0/24,BR,BR-SP,Campinas, 
179.167.196.0/24,BR,BR-SP,Presidente Prudente, 
191.248.196.0/24,BR,BR-SP,São Paulo, 
191.254.155.0/24,BR,BR-SP,Votorantim, 
177.198.148.0/24,BR,BR-SP,Taboão Da Serra, 
177.161.148.0/24,BR,BR-SP,Guarulhos, 
177.26.121.0/24,BR,BR-SP,São Paulo, 
152.250.9.0/24,BR,BR-SP,Mogi Das Cruzes, 
179.118.205.0/24,BR,BR-SP,Guarulhos, 
187.90.186.0/24,BR,BR-SP,Cotia, 
191.23.35.0/24,BR,BR-SP,Ribeirão Preto, 
177.196.104.0/24,BR,BR-SP,Jundiaí, 
177.9.125.0/24,BR,BR-SP,Sorocaba, 
179.94.101.0/24,BR,BR-SP,Cotia, 
179.101.237.0/24,BR,BR-SP,São Paulo, 
189.68.90.0/24,BR,BR-SP,Jundiaí, 
191.254.42.0/24,BR,BR-SP,São João Da Boa Vista, 
187.10.196.0/24,BR,BR-SP,Santos, 
179.165.110.0/24,BR,BR-SP,Cajamar, 
189.98.101.0/24,BR,BR-SP,Piracicaba, 
200.100.238.0/24,BR,BR-SP,São Paulo, 
177.162.89.0/24,BR,BR-SP,Paulínia, 
179.146.15.0/24,BR,BR-SP,São Paulo, 
191.9.119.0/24,BR,BR-SP,Santos, 
187.10.229.0/24,BR,BR-SP,Araras, 
187.10.251.0/24,BR,BR-SP,São Paulo, 
177.45.238.0/24,BR,BR-SP,Indaiatuba, 
177.95.15.0/24,BR,BR-SP,São José Do Rio Preto, 
189.0.83.0/24,BR,BR-SP,São Paulo, 
177.162.92.0/24,BR,BR-SP,São Paulo, 
177.26.124.0/24,BR,BR-SP,São Paulo, 
187.56.218.0/24,BR,BR-SP,São Paulo, 
187.90.96.0/24,BR,BR-SP,São José Dos Campos, 
177.68.15.0/24,BR,BR-SP,São Paulo, 
179.101.219.0/24,BR,BR-SP,Americana, 
191.17.46.0/24,BR,BR-SP,São Paulo, 
177.196.105.0/24,BR,BR-SP,São Paulo, 
152.250.91.0/24,BR,BR-SP,Itapevi, 
179.160.30.0/24,BR,BR-SP,Barueri, 
177.138.17.0/24,BR,BR-SP,Caraguatatuba, 
189.18.100.0/24,BR,BR-SP,Marília, 
187.91.65.0/24,BR,BR-SP,Santa Bárbara D'oeste, 
179.130.215.0/24,BR,BR-SP,Mogi Guaçu, 
200.158.93.0/24,BR,BR-SP,Hortolândia, 
189.18.72.0/24,BR,BR-SP,Assis, 
187.11.77.0/24,BR,BR-SP,Santo André, 
191.8.220.0/24,BR,BR-SP,Taboão Da Serra, 
177.196.103.0/24,BR,BR-SP,São José Do Rio Preto, 
152.250.184.0/24,BR,BR-SP,São José Dos Campos, 
201.69.121.0/24,BR,BR-SP,Sorocaba, 
187.89.113.0/24,BR,BR-SP,Santo André, 
177.139.64.0/24,BR,BR-SP,Campinas, 
177.171.7.0/24,BR,BR-SP,Osasco, 
177.95.17.0/24,BR,BR-SP,São Paulo, 
187.10.171.0/24,BR,BR-SP,Jundiaí, 
177.26.119.0/24,BR,BR-SP,Ribeirão Pires, 
177.170.129.0/24,BR,BR-SP,Hortolândia, 
187.11.23.0/24,BR,BR-SP,Santo André, 
201.68.52.0/24,BR,BR-SP,São Bernardo Do Campo, 
152.249.2.0/24,BR,BR-SP,Jacareí, 
179.101.228.0/24,BR,BR-SP,Salto, 
187.75.63.0/24,BR,BR-SP,Diadema, 
179.145.26.0/24,BR,BR-SP,Mogi Mirim, 
179.94.63.0/24,BR,BR-SP,Ribeirão Preto, 
201.93.250.0/24,BR,BR-SP,Sumaré, 
179.146.17.0/24,BR,BR-SP,São Paulo, 
201.92.26.0/24,BR,BR-SP,São Paulo, 
191.8.246.0/24,BR,BR-SP,Osasco, 
177.170.133.0/24,BR,BR-SP,Rio Claro, 
177.115.199.0/24,BR,BR-SP,São Paulo, 
177.170.223.0/24,BR,BR-SP,Guarujá, 
152.250.12.0/24,BR,BR-SP,Ribeirão Preto, 
187.56.202.0/24,BR,BR-SP,Sumaré, 
177.115.219.0/24,BR,BR-SP,São Paulo, 
